Species,Series,Temp, Polyp,Date,Age,Cum N,R,R 1
Cf,A,12,7D,10/12/2013,36,4,0,1.03098742495292
Cf,A,12,7D,13/12/2013,39,4,0,1.0285700594374
Cf,A,12,7D,16/12/2013,42,4,0,1.02650254363692
Cf,A,12,7D,19/12/2013,45,4,0,1.02471405856166
Cf,A,12,7D,22/12/2013,48,4,0,1.02315169047767
Cf,A,12,7D,25/12/2013,51,4,0,1.02177510875481
Cf,A,12,7D,28/12/2013,54,4,0,1.02055303548196
Cf,A,12,7D,31/12/2013,57,4,0,1.0194608405019
Cf,A,12,7D,03/01/2014,60,4,0,1.01847886443605
Cf,A,12,7D,07/01/2014,63,4,0,1.01759122496022
Cf,A,12,7D,10/01/2014,66,4,0,1.01678495131303
Cf,A,12,7D,13/01/2014,69,4,0,1.01604934635824
Cf,A,12,7D,16/01/2014,72,4,0,1.01537550933284
Cf,A,12,7D,19/01/2014,75,4,0,1.01475597396453
Cf,A,12,7D,22/01/2014,78,4,0,1.01418443068182
Cf,A,12,7D,25/01/2014,81,4,0,1.01365551096937
Cf,A,12,7D,28/01/2014,84,4,0,1.01316461823187
Cf,A,12,7D,31/01/2014,87,4,0,1.01270779387031
Cf,A,12,27A,04/11/2013,0,1,0,0
Cf,A,12,27A,07/11/2013,3,1,0,0
Cf,A,12,27A,10/11/2013,6,1,0,0
Cf,A,12,27A,13/11/2013,9,1,0,0
Cf,A,12,27A,16/11/2013,12,1,0,0
Cf,A,12,27A,19/11/2013,15,1,0,0
Cf,A,12,27A,22/11/2013,18,1,0,0
Cf,A,12,27A,25/11/2013,21,3,1.25992104989487,1.03355778300703
Cf,A,12,27A,28/11/2013,24,3,0,1.02930223664349
Cf,A,12,27A,01/12/2013,27,3,0,1.02600448470704
Cf,A,12,27A,04/12/2013,30,3,0,1.02337389199678
Cf,A,12,27A,07/12/2013,33,3,0,1.02122660631536
Cf,A,12,27A,10/12/2013,36,3,0,1.01944064370214
Cf,A,12,27A,13/12/2013,39,7,1.5874010519682,1.04701425877614
Cf,A,12,27A,16/12/2013,42,7,0,1.04358399699998
Cf,A,12,27A,19/12/2013,45,7,0,1.04062019534899
Cf,A,12,27A,22/12/2013,48,7,0,1.03803377450757
